file,width,height,orientation,path
IMG_20240707_101025.jpg,1787,2507,portrait,portrait/IMG_20240707_101025.jpg
IMG_20240707_101051.jpg,1620,2365,portrait,portrait/IMG_20240707_101051.jpg
IMG_20240707_101121.jpg,2341,1645,landscape,landscape/IMG_20240707_101121.jpg
IMG_20240707_101142.jpg,1639,2300,portrait,portrait/IMG_20240707_101142.jpg
IMG_20240707_101206.jpg,1992,1387,landscape,landscape/IMG_20240707_101206.jpg
IMG_20240707_101229.jpg,2171,1489,landscape,landscape/IMG_20240707_101229.jpg
IMG_20240707_101251.jpg,2209,1520,landscape,landscape/IMG_20240707_101251.jpg
IMG_20240707_101321.jpg,1550,2237,portrait,portrait/IMG_20240707_101321.jpg
IMG_20240707_101348.jpg,1660,2379,portrait,portrait/IMG_20240707_101348.jpg
IMG_20240707_101415.jpg,2211,1617,landscape,landscape/IMG_20240707_101415.jpg
IMG_20240707_101441.jpg,1708,2497,portrait,portrait/IMG_20240707_101441.jpg
IMG_20240707_101505.jpg,2195,1569,landscape,landscape/IMG_20240707_101505.jpg
IMG_20240707_101533.jpg,2281,1653,landscape,landscape/IMG_20240707_101533.jpg
IMG_20240707_101555.jpg,2144,1551,landscape,landscape/IMG_20240707_101555.jpg
IMG_20240707_101629.jpg,1750,2413,portrait,portrait/IMG_20240707_101629.jpg
IMG_20240707_101652.jpg,2276,1517,landscape,landscape/IMG_20240707_101652.jpg
IMG_20240707_101714.jpg,2267,1562,landscape,landscape/IMG_20240707_101714.jpg
IMG_20240707_101746.jpg,1671,2289,portrait,portrait/IMG_20240707_101746.jpg
IMG_20240707_101807.jpg,1646,2289,portrait,portrait/IMG_20240707_101807.jpg
IMG_20240707_101830.jpg,1618,2290,portrait,portrait/IMG_20240707_101830.jpg
IMG_20240707_101851.jpg,2174,1588,landscape,landscape/IMG_20240707_101851.jpg
IMG_20240707_101913.jpg,2293,1646,landscape,landscape/IMG_20240707_101913.jpg
IMG_20240707_101937.jpg,2150,1578,landscape,landscape/IMG_20240707_101937.jpg
IMG_20240707_101957.jpg,2139,1527,landscape,landscape/IMG_20240707_101957.jpg
IMG_20240707_102017.jpg,2227,1552,landscape,landscape/IMG_20240707_102017.jpg
IMG_20240707_102038.jpg,1543,2140,portrait,portrait/IMG_20240707_102038.jpg
IMG_20240707_102100.jpg,2272,1653,landscape,landscape/IMG_20240707_102100.jpg
IMG_20240707_102119.jpg,1676,2420,portrait,portrait/IMG_20240707_102119.jpg
IMG_20240707_102136.jpg,2245,1633,landscape,landscape/IMG_20240707_102136.jpg
IMG_20240707_102205.jpg,2187,1558,landscape,landscape/IMG_20240707_102205.jpg
IMG_20240707_102225.jpg,2172,1580,landscape,landscape/IMG_20240707_102225.jpg
IMG_20240707_102248.jpg,2343,1558,landscape,landscape/IMG_20240707_102248.jpg
IMG_20240707_102309.jpg,2223,1617,landscape,landscape/IMG_20240707_102309.jpg
IMG_20240707_102336.jpg,2273,1677,landscape,landscape/IMG_20240707_102336.jpg
IMG_20240707_102357.jpg,1809,1263,landscape,landscape/IMG_20240707_102357.jpg
IMG_20240707_102640.jpg,2531,1605,landscape,landscape/IMG_20240707_102640.jpg
IMG_20240707_140256.jpg,2460,1748,landscape,landscape/IMG_20240707_140256.jpg
